2014-08-21	League of Legends	742487
2014-08-22	Dota 2	243400
2014-08-22	League of Legends	681065
2014-08-23	Dota 2	297667
2014-08-23	League of Legends	916402
2014-08-24	Dota 2	295023
2014-08-24	League of Legends	898328
2014-08-25	Dota 2	386105
2014-08-25	League of Legends	618873
2014-08-26	Dota 2	238757
2014-08-26	League of Legends	602063
2014-08-27	Dota 2	315217
2014-08-27	League of Legends	645569
2014-08-28	Dota 2	330834
2014-08-28	League of Legends	674293
2014-08-29	Dota 2	247914
2014-08-29	League of Legends	752962
2014-08-30	Dota 2	280335
2014-08-30	League of Legends	980001
2014-08-31	Dota 2	367876
2014-08-31	League of Legends	871458
2014-09-01	Dota 2	223300
2014-09-01	League of Legends	932144
2014-09-02	Dota 2	242327
2014-09-02	League of Legends	918869
2014-09-03	Dota 2	213804
2014-09-03	League of Legends	635962
2014-09-04	Dota 2	224308
2014-09-04	League of Legends	569972
2014-09-05	Dota 2	292097
2014-09-05	League of Legends	550420
2014-09-06	Dota 2	281595
2014-09-06	League of Legends	582911
2014-09-07	Dota 2	280727
2014-09-07	League of Legends	679939
2014-09-08	Dota 2	172298
2014-09-08	League of Legends	800321
2014-09-09	Dota 2	225928
2014-09-09	League of Legends	742717
2014-09-10	Dota 2	277186
2014-09-10	League of Legends	753176
2014-09-11	Dota 2	262672
2014-09-11	League of Legends	692151
2014-09-12	Dota 2	233603
2014-09-12	League of Legends	559132
